borough,CT,NTA
Brooklyn,3074200,BK58
Brooklyn,3074400,BK58
Brooklyn,3074600,BK58
Brooklyn,3077600,BK58
Brooklyn,3094401,BK58
Brooklyn,3094402,BK58
Brooklyn,3002901,BK68
Brooklyn,3003100,BK68
Brooklyn,3003300,BK68
Brooklyn,3003500,BK68
Brooklyn,3017900,BK68
Brooklyn,3018100,BK68
Brooklyn,3018300,BK68
Brooklyn,3018501,BK68
Brooklyn,3018700,BK68
Brooklyn,3021100,BK68
Brooklyn,3063600,BK45
Brooklyn,3064000,BK45
Brooklyn,3064400,BK45
Brooklyn,3064600,BK45
Brooklyn,3064800,BK45
Brooklyn,3065200,BK45
Brooklyn,3065400,BK45
Brooklyn,3065600,BK45
Brooklyn,3065800,BK45
Brooklyn,3066000,BK45
Brooklyn,3066200,BK45
Brooklyn,3067000,BK45
Brooklyn,3068600,BK45
Brooklyn,3069601,BK45
Brooklyn,3069602,BK45
Brooklyn,3069800,BK45
Brooklyn,3070000,BK45
Brooklyn,3070201,BK45
Brooklyn,3070600,BK45
Brooklyn,3030600,BK26
Brooklyn,3030800,BK26
Brooklyn,3031400,BK26
Brooklyn,3037401,BK26
Brooklyn,3037402,BK26
Brooklyn,3038200,BK26
Brooklyn,3038600,BK26
Brooklyn,3039800,BK26
Brooklyn,3049900,BK76
Brooklyn,3056100,BK76
Brooklyn,3056300,BK76
Brooklyn,3056500,BK76
Brooklyn,3056900,BK76
Brooklyn,3057100,BK76
Brooklyn,3057300,BK76
Brooklyn,3057500,BK76
Brooklyn,3057900,BK76
Brooklyn,3058900,BK76
Brooklyn,3059100,BK76
Brooklyn,3059300,BK76
Brooklyn,3038800,BK25
Brooklyn,3039000,BK25
Brooklyn,3039200,BK25
Brooklyn,3039400,BK25
Brooklyn,3039600,BK25
Brooklyn,3041401,BK25
Brooklyn,3041402,BK25
Brooklyn,3041600,BK25
Brooklyn,3041800,BK25
Brooklyn,3042000,BK25
Brooklyn,3042200,BK25
Brooklyn,3055400,BK25
Brooklyn,3055600,BK25
Brooklyn,3058200,BK25
Brooklyn,3058400,BK25
Brooklyn,3058800,BK25
Brooklyn,3048400,BK41
Brooklyn,3048600,BK41
Brooklyn,3048800,BK41
Brooklyn,3049000,BK41
Brooklyn,3049200,BK41
Brooklyn,3049400,BK41
Brooklyn,3049600,BK41
Brooklyn,3049800,BK41
Brooklyn,3054800,BK44
Brooklyn,3055000,BK44
Brooklyn,3055200,BK44
Brooklyn,3055800,BK44
Brooklyn,3056000,BK44
Brooklyn,3056200,BK44
Brooklyn,3056400,BK44
Brooklyn,3056600,BK44
Brooklyn,3056800,BK44
Brooklyn,3057400,BK44
Brooklyn,3057600,BK44
Brooklyn,3057800,BK44
Brooklyn,3058000,BK44
Brooklyn,3063800,BK44
Brooklyn,3064200,BK44
Brooklyn,3045600,BK43
Brooklyn,3045800,BK43
Brooklyn,3053000,BK43
Brooklyn,3053200,BK43
Brooklyn,3053400,BK43
Brooklyn,3053800,BK43
